item,fpso_owner,vessel_name,construction_type,first_production,award_date,cycle_time_months,fpso_operator,field_operator,contract_type,leased,lease_period_years,operating_water_depth_m,field_location,country,reserves_mmboe,topsides_detail_eng,hull_detail_eng,general_contractor,topsides_fab_yard,hull_fab_yard,conversion_integration,turret_supplier,total_wells,production_wells,gas_injection_wells,water_injection_wells,classification,length_m,width_m,depth_m,operating_draft_m,hull_construction,deadweight_dwt,original_hull_fab_yr,latest_integration_yr,max_oil_production_mbopd,gas_processing_mmscfd,total_throughput_mboepd,gas_injection_mmscfd,gas_export_mmscfd,production_water_mbpd,produced_water_mbwpd,water_injection_mbwpd,storage_capacity_mbbbls,total_risers,quarters_capacity,gas_deposition,flare_type,offloading_system,mooring_system_type,permanent_disconnectable,anchor_legs
137,,ESPIRITO SANTO (BC-10),C,Jul-09,,,SBM Offshore & JVP,SBM Offshore & MISC (JV) Shell,3,L,15.0,1780.0,"BC-10, Parque das Conchas - Abalone, Ostras, Nautilus,",Brazil,,SBM Offshore,SBM Offshore,SBM Offshore,(BR) Various,,Keppel,SBM Offshore,9.0,9.0,1.0,,ABS,331.0,57.0,28.0,22.0,DH,275000.0,1975.0,2009.0,100.0,45.0,108.0,30.0,45.0,130.0,130.0,75.0,1600.0,21.0,100.0,"S, L, I",FT,TS,IT,P,9.0
138,,KIKEH,C,May-07,,,SBM Offshore & MISC,SBM Offshore & MISC (JV) Murphy Oil Sabah,3,L,15.0,1350.0,Kikeh,Malaysia,,SBM Offshore,SBM Offshore,SBM Offshore,Various,,MMHE,SBM Offshore,35.0,18.0,1.0,16.0,ABS,337.0,55.0,27.0,21.0,SH,273000.0,1974.0,2007.0,120.0,135.0,144.0,141.0,,130.0,130.0,226.0,2179.0,10.0,118.0,"S, L, I",FT,TS,ET,P,10.0
139,,MONDO,C,Jan-07,,,SBM Offshore /Sonangol (Sonasing),SBM Offshore/Sonangol ExxonMobil,3,L,15.0,728.0,"Mondo, Block 15",Angola,,SBM Offshore,SBM Offshore,SBM Offshore,Various,,Keppel,SBM Offshore,17.0,,,,ABS,370.0,54.0,27.0,21.0,SH,273000.0,1975.0,2007.0,100.0,95.0,116.0,95.0,95.0,50.0,,125.0,2140.0,12.0,100.0,"L,I",FT,TS,ET,P,9.0
140,,N'GOMA,C,Nov-14,,,SBM Offshore & Sonangol (Sonasing),SBM Offshore & Sonangol (OPS) ENI,3,L,10.0,1250.0,Block 15-06,Angola,,SBM Offshore,SBM Offshore,SBM Offshore,Dynamac/BT,,Dubai Drydocks,SBM Offshore,13.0,7.0,3.0,3.0,ABS,,,,,SH,275000.0,1974.0,2014.0,100.0,115.0,119.0,100.0,70.0,100.0,,120.0,1963.0,16.0,,,FT,,ET,P,
141,,SAXI-BATUQUE (KIZOMBA C),C,Jul-08,,,SBM Offshore & Sonangol (Sonasing),SBM Offshore & Sonangol (OPS) ExxonMobil,3,L,15.0,720.0,"Saxi & Batuque, Block 15",Angola,,SBM Offshore,SBM Offshore,SBM Offshore,Various,,Keppel,SBM Offshore,20.0,9.0,5.0,10.0,ABS,369.0,56.0,29.0,22.0,SH,311000.0,1977.0,2008.0,100.0,150.0,126.0,150.0,150.0,80.0,,150.0,2000.0,13.0,100.0,"L,I",FT,TS,ET,P,9.0
142,SEA LION,TOISA PISCES,C,Jan-02,,,Sealion Shipping,Sea Lion Shipping PEMEX,3,L,,,,Mexico,,,,Maresca,,,Ulstein Verft AS,,,,,,DNV,104.0,23.0,9.0,7.0,DH,7200.0,1997.0,2004.0,20.0,36.0,26.0,,,4.0,,,24.0,,70.0,,,,DP,,
143,SEA PROD. LTD.,CRYSTAL OCEAN,N,Aug-12,,,Sea Production Ltd,Blue Marine PEMEX,3,L,,170.0,Litorial Tabasco area,Mexico,,,,,Kvaerner Govan,Kvaerner Govan,,,,,,,DNV,101.0,21.0,12.0,9.0,,8700.0,1999.0,,40.0,,40.0,32.0,,,,,42.0,,40.0,"L, F",,,,,3.0
144,SHEBAH E & P,TRINITY SPIRIT,C,Dec-96,,,Shebah E&P,Allenne Ltd Shebah E&P,2,L,,85.0,Ukpokiti,Nigeria,48.0,Wood Group Mustang,Wood Group Mustang,,NATCO/Dynamic/Se rck Backer,,AESA,,7.0,,,,ABS,337.0,55.0,27.0,18.0,SH,279187.0,1976.0,1997.0,20.0,50.0,28.0,4.0,,16.0,,40.0,1700.0,4.0,55.0,F,FB,TB,SM,P,8.0
145,SHELL,BONGA,N,Nov-05,,,Shell,Shell,1,,,1250.0,Bonga,Nigeria,1000.0,KBR/HES,,AMEC,AMEC,Samsung,Samsung,,16.0,,,,LRS,305.0,58.0,32.0,23.0,DS,312500.0,2005.0,,170.0,100.0,187.0,,100.0,,,,1400.0,,63.0,S,FB,TS,SM,P,
146,,CURLEW,C,Jul-02,,,Shell,Shell,1,,,92.0,"Curlew, Kyle",UK,98.0,AMEC,Odense Steel,Maersk,AMEC,,Keppel A&P Group,SBM Offshore,4.0,,,,LR,236.0,40.0,20.0,15.0,DS,99800.0,1983.0,1997.0,45.0,116.0,64.0,,110.0,33.0,38.0,,560.0,7.0,60.0,"S, F",FT,TS,"IT, SM",P,9.0
147,,FLUMINENSE FPSO,C,Aug-03,,,Shell,MODEC Shell,2,,,740.0,"Bijupira, Salema",Brazil,201.0,MODEC/Alliance Engr.,MODEC,MODEC,MODEC/Delta,,Jurong,SOFEC,17.0,11.0,,,ABS,411.0,60.0,28.0,16.0,DH,355000.0,1974.0,2003.0,70.0,75.0,83.0,75.0,,50.0,,92.0,1300.0,15.0,108.0,S,FB,TS,ET,P,9.0
148,,SEA EAGLE (EA FPSO),N,Jan-03,,,Shell,Shell,1,,,375.0,EA (OML 79),Nigeria,394.0,KBR,Samsung,KBR,Sembawang,Samsung,Sembawang,SBM Offshore,20.0,,,,LR,274.0,50.0,28.0,20.0,DS,207000.0,2002.0,,170.0,100.0,187.0,530.0,,,,,1400.0,22.0,116.0,S,FB,TS,JSY,P,12.0
149,,TURRITELLA,C,Sep-16,May-13,40.0,Shell,Shell,1,,,2900.0,Stones,US GOM,,SBM Offshore,SBM Offshore,SBM Offshore,Dynamac/EOL,,Keppel,SBM Offshore,8.0,8.0,,,ABS,274.0,48.0,24.0,17.0,DH,159113.0,2003.0,2015.0,60.0,15.0,60.0,,,30.0,,,800.0,8.0,120.0,S,FT,TS,BTM,D,9.0
150,SUNCOR ENERGY,TERRA NOVA,N,Jan-02,,,Suncor Energy,Suncor Energy,1,,,94.0,Terra Nova,Canada,470.0,Agra Shawmont Brown& Root,KBR/Daewoo,TNA AlliancePCL/KBR,PCL/BARMAC,Daewoo,Daewoo,SOFEC,24.0,14.0,3.0,7.0,LR,292.0,46.0,28.0,19.0,DH,196000.0,1999.0,,32.0,5.4,33.0,,,14.0,,,960.0,2.0,120.0,F,EF/GF,TS,ET,P,
151,,CIDADE DE ITAJAI,C,Feb-13,Oct-10,28.0,Teekay / Odebrecht,Teekay Petrojarl Petrobras,3,L,7.0,250.0,Bauna & Piracaba Fields,Brazil,,,,,,,Jurong,,10.0,5.0,1.0,4.0,ABS,266.0,43.0,20.0,,DH,91468.0,1985.0,2012.0,80.0,,80.0,,,,76.0,96.0,650.0,34.0,70.0,L,,,SM,,16.0
152,TEEKAY,HUMMINGBIRD SPIRIT,N,Sep-08,,,Teekay Petrojarl,Wood Centrica,3,L,,120.0,Chestnut,UK,235.0,Sevan Marine (Kanfa),Sevan Marine,Sevan Marine,,Yantai Raffles,,,2.0,1.0,,1.0,DNV,,,27.0,18.0,,40000.0,2007.0,,25.0,,25.0,,,,25.0,20.0,270.0,10.0,44.0,,,,SM,P,12.0
153,,PETROJARL 1,C,May-18,Nov-14,41.9,Teekay Offshore,Teekay Petrojarl Queiroz Galvao,3,L,5.0,1560.0,Atlanta Field,Brazil,260.0,,,,Damen Schiedam,,Damen Shiprepair,,,,,,DNV,215.0,32.0,,,DH,,1986.0,2016.0,30.0,9.0,32.0,,,,6.0,,180.0,9.0,68.0,,,,IT,,
154,,PETROJARL BANFF (Ramform),C,Feb-99,,,Teekay Petrojarl,Teekay Petrojarl CNR,3,L,,95.0,Banff and Kyle Fields,UK,,Aker Maritime,PGS,Aker Kvaerner,Aker Maritime,,Keppel Aker McNulty,TenTech,,,,,DNV,120.0,54.0,21.0,13.0,DH,31498.0,1997.0,2001.0,90.0,7.0,91.0,72.0,,120.0,,89.0,88.0,,60.0,,,,IT,P,10.0
155,,PETROJARL CIDADE de RIO das OTRAS,C,Mar-08,,,Teekay Offshore,Petrobras,4,L,,77.0,Tartaruga Verde,Brazil,,,,,,,AG Weser,,,,,,DNV,197.0,32.0,16.0,12.0,DH,45574.0,1981.0,2007.0,25.0,,25.0,,,,12.0,,214.0,8.0,60.0,,,TB,,,12.0
156,,PETROJARL FOINAVEN,C,Nov-97,,,Teekay Petrojarl,Teekay Petrojarl BP,3,L,,454.0,"Foinaven, Foinaven East",UK,395.0,McDermott Int'l,Astano/Golar-Nor,Golar-Nor,Ast y Tallered del Noroeste,Astano,,"FMC, Astano/Brown Brothers",22.0,,,,DNV,250.0,34.0,13.0,,DH,43276.0,1989.0,2008.0,140.0,,140.0,100.0,,165.0,120.0,165.0,202.0,15.0,70.0,I,GF,TS,IT,P,10.0
157,,PETROJARL KNARR,N,Mar-15,,,Teekay Offshore,Teekay BG Group,3,L,,410.0,Knarr Field,Norway,80.0,,,Samsung,,Samsung,,,,,,,DNV,256.0,48.0,,,DH,135000.0,2014.0,,63.0,47.0,71.0,,,,84.0,95.0,800.0,15.0,100.0,,,,ET,,
158,,PIONEIRO DE LIBRA FPSO,C,Dec-17,Oct-14,37.9,Teekay / Odebrecht,Teekay/Odebrecht Petrobras,3,L,12.0,2000.0,Libra,Brazil,12.0,Technip,Sembmarine,Sembmarine,Jurong,,Jurong,LMC/OneSubsea,,,,,,310.0,42.0,,,,136596.0,1995.0,2016.0,50.0,4.0,51.0,,,,,,650.0,,,,,,ET,,
159,,PIRANEMA SPIRIT (Sevan Piranema),N,Oct-07,,,Teekay Offshore,Sevan Marine Petrobras,3,L,11.0,1600.0,Piranema,Brazil,76.0,Sevan Marine (Kanfa),Sevan Marine,Sevan Marine,Sevan Marine,Yantai Raffles,,,6.0,3.0,,3.0,DNV,,,27.0,18.0,DH,13000.0,2006.0,,25.0,127.0,46.0,,,,20.0,,250.0,25.0,63.0,,FB,,SM,P,12.0
160,,VOYAGEUR SPIRIT,N,Apr-13,,,Teekay Offshore,Premier Oil,3,L,3.0,89.0,Huntington,UK,,,Sevan Marine,Sevan Marine,Keppel Verolme,Yantai Raffles,Nymo,,,,,,DNV,,,27.0,18.0,DH,45145.0,2007.0,2012.0,30.0,38.0,36.0,,,,42.0,48.0,270.0,10.0,57.0,S,FB,,SM,P,12.0
161,TMM,ECO III,C,Aug-10,,,TMM,Marecsa PEMEX,3,L,,300.0,Campeche,Mexico,,,,,,,,,,,,,ABS,135.0,21.0,10.0,7.0,,10306.0,,,15.0,32.0,20.0,,,,,,55.0,,54.0,,,,DP,,
162,,AKPO,N,Mar-09,,,Total,Total,1,,,1350.0,"Akpo OPL 246, OML-130",Nigeria,620.0,Technip,Technip,Technip & HHI JV,HHI,HHI,,,44.0,22.0,2.0,20.0,BV,310.0,61.0,,,DH,337000.0,2008.0,,240.0,282.0,287.0,280.0,,360.0,,375.0,2000.0,14.0,120.0,"I, L",FT,TS,SM,P,12.0
163,,CLOV,N,Jun-14,Aug-10,45.9,Total,Total,1,,,1400.0,"Block 17 - Acacia, Hortensia, Perpetua & Zinia",Angola,500.0,KBR,Daewoo Shipbuilding,Daewoo Shipbuilding,,Daewoo Shipbuilding,,,34.0,19.0,15.0,,,305.0,61.0,32.0,,DH,214000.0,2013.0,,160.0,230.0,198.0,,229.0,,,319.0,1780.0,,240.0,S,FB,TC,SM,P,16.0
164,TOTAL,DALIA,C,Dec-06,May-03,43.0,Total,Total,1,,,1500.0,Dalia Block 17,Angola,940.0,Technip-Saipem JV,,Technip,Stolt Offshore JV,DSME/ Samsung,Samsung,,71.0,34.0,,,ABS,322.0,56.0,29.0,,,265243.0,,,240.0,,240.0,,,,,,2000.0,14.0,52.0,F,FB,TC,SM,P,12.0
165,,EGINA,N,2H-18,Jun-13,,Total,Total,1,,,1750.0,Egina,Nigeria,,Samsung,Samsung,Samsung SHI,Samsung,Samsung,,,44.0,,,,,330.0,61.0,34.0,,DH,,,,208.0,200.0,250.0,,,,,,2300.0,,,,,,,,
166,,FARWAH,C,Sep-03,,,Total,Exmar Total,2,,,91.0,Al Jurf Block C137,Libya,148.0,Doris Engr.,Izar,Exmar Offshore,SMCO/MECI,Izar,Izar,LMC/Rolls-Royce,3.0,3.0,,,ABS,94.0,22.0,6.0,,,5214.0,,,200.0,150.0,225.0,,,,350.0,,900.0,,,,,,SM,,
167,,GIRASSOL,N,Dec-01,Apr-98,44.3,Total,Total,1,,,1400.0,"Girassol, Jasmim Block 17, Rosa (Future)",Angola,700.0,Mar Profundo Girassol,HHI,Mar Profundo Girassol,HHI,HHI,HHI,,40.0,18.0,2.0,12.0,BV,300.0,60.0,31.0,23.0,DS,345000.0,1999.0,,60.0,90.0,75.0,56.0,,72.0,,79.0,2000.0,4.0,140.0,"I, S",FB,TC,SM,P,16.0
168,,KAOMBO SUL,C,2H-18,Apr-14,,Total,Samsung Total,2,L,7.0,1600.0,Kaombo CLM Blk 32,Angola,,Saipem,Saipem,Saipem,Saipem,,Sembawang,Bluewater,,,,,,,,,,DH,,2009.0,2018.0,115.0,100.0,131.0,,,,,,1700.0,,,,,,IT,P,
169,,KAOMBO NORTE,c,2H-18,Apr-14,,Total,Samsung Total,2,L,7.0,1600.0,Kaombo GGC Blk 32,Angola,,Saipem,Saipem,Saipem,Saipem,,Sembawang,Bluewater,,,,,,,,,,DH,,2008.0,2018.0,115.0,100.0,131.0,,,,,,1700.0,,,,,,IT,p,
170,,PAZFLOR,N,Aug-11,Dec-07,43.9,Total,Total,1,,,,"Block 17 - Acacia, Hortensia, Perpetua & Zinia",Angola,,KBR,DSME,DSME,,DSME,,,49.0,25.0,2.0,22.0,,325.0,61.0,32.0,,DS,396000.0,2010.0,,160.0,177.0,190.0,,,,,,2000.0,17.0,,,,TC,SM,P,16.0
171,,USAN,N,Feb-12,Feb-08,47.9,Total,Total,1,,,,OML 138,Nigeria,500.0,HHI,HHI,HHI,HHI,HHI,,,42.0,23.0,10.0,9.0,BV,320.0,61.0,32.0,25.0,DH,381000.0,2006.0,,180.0,35.0,186.0,185.0,,,100.0,135.0,2000.0,7.0,180.0,"F,L",FB,TC,SM,P,16.0
172,TRUNG SON,SON DOC PRIDE MV 19,C,Nov-08,,,Truong Son,Truong Son,1,L,,55.0,Song Doc,Vietnam,,,MODEC,MODEC,,,Cosco,SOFEC,5.0,,,,ABS,,,,,,70000.0,,2008.0,30.0,,30.0,,,,,,360.0,,,,,,SM,P,12.0
173,TULLOW OIL,KWAME NKRUMAH MV21,C,Nov-10,,,Tullow Oil,MODEC Tullow Oil,2,,,1100.0,Tano Basin,Ghana,300.0,MODEC,,MODEC,Various,,Jurong,SOFEC / Framo Eng,17.0,9.0,2.0,6.0,ABS,359.0,59.0,30.0,20.0,SH,261212.0,1991.0,2010.0,123.0,160.0,150.0,160.0,160.0,85.0,,230.0,1600.0,11.0,120.0,"I, L",FB,TS,ET,P,9.0
174,VIETSOV - PETRO,BA VI,C,Oct-94,,,Vietsovpetro,Vietsovpetro,1,,,48.0,Dragon Block 9/16,Vietnam,,,,SBM Offshore,,,Keppel,SBM Offshore,,,,,,,,,,SH,154000.0,,1994.0,100.0,,100.0,,,,10.0,,1100.0,2.0,28.0,,,,CALM SY,,
175,,CHI LINH,C,Jan-86,,,Vietsovpetro,Vietsovpetro,1,,,50.0,White Tiger,Vietnam,,SBM Offshore,,,,,Keppel,SBM Offshore,,,,,,,,,,SH,150000.0,,1984.0,70.0,,70.0,,,,,,975.0,2.0,28.0,,,,CALM SY,P,
176,VOFT,RUBY II,C,Mar-09,,,VOFT (JV MISC/PTSC),VOFT PCVL,3,L,8.0,49.0,Blocks 01 & 02,Vietnam,140.0,DPS,,,MMHE,,MMHE,MMHE,,,,,,245.0,41.0,22.0,,SH,95091.0,1990.0,2007.0,45.0,12.0,47.0,,12.0,,13.0,,745.0,8.0,80.0,,,,ET,P,9.0
177,WOODSIDE,NGUJIMA-YIN,C,Aug-08,,,Woodside,Woodside,1,,,340.0,Vincent,Australia,73.0,Maersk Contractors,,Maersk Contractors,Vetco Aibel,,Keppel,APL / Buoy System,11.0,,,,LR,261.0,58.0,31.0,23.0,DH,308490.0,1999.0,2008.0,120.0,100.0,137.0,,,250.0,,230.0,1900.0,14.0,80.0,,FT,TS,STP,D,9.0
178,,OKHA,C,Sep-11,,,Woodside,Woodside,1,,,78.0,"Cossack , Wanaea, Lambert",Australia,,SBMO,SBMO,SBMO,SBMO,,Keppel,SBM Offshore,10.0,,,,,274.0,48.0,,,,158000.0,,2009.0,30.0,,30.0,,80.0,100.0,,,925.0,7.0,,,FB,TS,ET,D,
179,,NGANHURRA,N,Jul-06,,,Woodside/Mitsui,Woodside,1,,,500.0,Enfield,Australia,145.0,AMEC/Fluor,Samsung,,Samsung,Samsung,Samsung,SBM Offshore,13.0,5.0,2.0,6.0,,260.0,46.0,26.0,18.0,DH,150000.0,2006.0,,100.0,80.0,113.0,40.0,40.0,125.0,,135.0,900.0,,80.0,I + L,FT,TS,ET,D,9.0
180,YINSON,FPSO ADOON,C,Oct-06,Aug-05,14.0,Yinson,Yinson Holdings Addax /Sinopec,3,L,12.0,37.0,Antan,Nigeria,,,,,,,DDD,,,,,,DNV,207.0,54.0,26.0,19.0,,239781.0,1985.0,2006.0,60.0,7.0,61.0,,,,,,1700.0,,,,,"TS,TC",SM,,
181,,FPSO ALLAN,C,May-09,Sep-07,19.9,Yinson,Yinson Holdings CNR,3,L,10.0,100.0,Olowi,Gabon,,,,Saipem,Lamprell,,DDD,,,,,,DNV,274.0,44.0,24.0,17.0,,145242.0,1980.0,2009.0,35.0,85.0,49.0,,,,,,1040.0,,,,,T,SM,,
182,,JOHN AGYEKUM KUFUOR,C,May-17,Dec-14,28.9,Yinson,Yinson Holdings ENI,3,L,15.0,1000.0,Sankofa/Gye Nyame,Ghana,,,Yinson,,,,Keppel,,18.0,,,,DNV,333.0,60.0,,,DH,,,2017.0,58.0,210.0,93.0,150.0,165.0,,,55.0,1400.0,18.0,,,,,SM,P,12.0
183,,PTSC LAM SON,C,Jun-14,Mar-11,39.0,Yinson/PTSC,PTSC PetroVietnam,4,L,7.0,3.0,Tang Long/Dong Do,Vietnam,,,,PTSC,,,Keppel,,,,,,,243.0,42.0,,14.0,,,,2014.0,20.0,,20.0,,,,,15.0,350.0,5.0,70.0,,,T,ET,,
1,,GLAS DOWR,C,15-Dec,,,Bluewater,Bluewater,3,,0.0,,,Australia,,,,,,,,,,,,,LRS,242.0,42.0,21.0,15.0,DH,105000.0,1997.0,2011.0,60.0,92.0,75.0,,,,65.0,85.0,657.0,,96.0,,,TS,IT,P,12.0
2,BLUEWATER,MUNIN,C,2011,,,Bluewater,Bluewater,3,,0.0,,,China,,,,,,,,,,,,,DNV,252.0,42.0,23.0,16.0,DH,101000.0,1997.0,,60.0,,60.0,,,,120.0,,600.0,,55.0,,,TS,IT,D,6.0
3,BOURBON OFFSHORE,BOURBON OPALE,C,2014,,,Bourbon Offshore,Bourbon Offshore,3,,0.0,,,Bahamas (Mexico),,,,,,,,,,,,,ABS,91.0,57.0,32.0,,,268000.0,2004.0,2014.0,24.0,26.0,28.0,,,,10.0,,306.0,,32.0,,,BB,DP,D,2.0
4,ARMADA,ARMADA CLAIRE,C,2016,,,Bumi Armada,Bumi Armada,3,,0.0,,,Australia,,,,,,,,,,,,,LR,240.8,41.8,23.0,,DH,102123.0,1993.0,2013.0,80.0,,80.0,53.0,,30.0,,60.0,805.0,,60.0,,,,RTM,D,
5,,BERGE HELENE,C,18-Apr,,,BW Offshore,BW Offshore,3,,0.0,,,Mauritania,,,,,,,,"APL, SEMBAWANG",,,,,ABS,245.0,43.0,20.0,,DH,91468.0,1976.0,2012.0,75.0,80.0,88.0,73.0,,,90.0,100.0,2000.0,,100.0,"F,E",FB,T,ET,P,12.0
6,BW,BW ATHENA,C,16-Feb,,,BW Offshore,BW Offshore,3,,0.0,,,Scotland (UK),,,,,,,,,,,,,DNV,101.0,21.0,12.0,9.0,DH,8700.0,1994.0,2007.0,28.0,53.0,37.0,,,,,25.0,50.0,,65.0,F,FB,TT,DP,D,9.0
7,OFFSHORE,CIDADE DE SAO MATEUS,C,15-Feb,,,BW Offshore,BW Offshore,3,,0.0,,,Brazil,,,,,,,,,,,,,LR,337.0,55.0,,,SH,307284.0,1989.0,,25.0,353.0,84.0,0.0,,,,31.0,700.0,,83.0,"S,L",FT,TS,SM,P,18.0
8,,BOHAI MING ZHU,C,2013,,,CNOOC,CNOOC,1,,0.0,,,China,,,,,,,,,,,,,DNV,218.0,33.0,28.0,12.0,SH,55000.0,1993.0,2002.0,80.0,6.0,81.0,,,166.0,,160.0,1000.0,,47.0,,,TS,JSY,P,
9,CNOOC,NAN HAI KAI TUO,C,15-Nov,,,CNOOC,CNOOC,1,,0.0,,,China,,,,,,,,,,,,,DNV,285.0,49.0,25.0,16.0,SH,152400.0,1970.0,2008.0,90.0,,90.0,,,60.0,,,1000.0,,60.0,,FB,TS,IT,D,8.0
10,JX NIPPON,DEEP PRODUCER 1,C,,,,JX Nippon,THHE,2,,0.0,,UNDER REPAIR,Malaysia,,,,,,,,,,,,,DNV,243.8,32.3,,13.0,SH,68139.0,1981.0,2008.0,40.0,40.0,47.0,,,,,,400.0,,56.0,,,,ET,D,
11,M3 ENERGY,PERINTIS,C,2013,,,M3 Energy,M3 Energy,1,,0.0,,,Malaysia,,,,,,,,,,,,,ABS,242.0,39.0,21.0,16.0,SH,94237.0,1984.0,1999.0,35.0,100.0,52.0,100.0,,18.0,,25.0,640.0,,60.0,S,,TS,ET,P,6.0
12,MODEC,STYBARROW VENTURE MV 18,N,15-Jul,,,MODEC,MODEC,3,,0.0,,,Vietnam,,,,,,,,SOFEC,,,,,ABS,265.0,48.0,,,DH,140000.0,,2007.0,80.0,45.0,88.0,2.0,,,,10.0,900.0,,,F,GF,SS,IT,P,8.0
13,PERISAI PET.,PERISAI KAMELIA,C,17-Apr,,,Perisai Petroelum,Perisai,1,,0.0,,,Malaysia,,,,,,,,,,,,,DNV,263.0,41.0,22.0,,SH,127540.0,1980.0,2008.0,,175.0,29.0,,,,,,275.0,,60.0,,,TS,ET,P,9.0
14,PETRONAS,BERANTAI,C,17-Jun,,,Petronas,Petronas,1,,0.0,,,Malaysia,,,,,,,,,,,,,DNV,207.0,32.0,17.0,,SH,55337.0,1983.0,2012.0,30.0,150.0,55.0,,,,,,360.0,,,S,,,,,
15,OGX,OSX 2,C,,,,OSX Brasil S.A.,OSX Brasil S.A.,1,,0.0,,SINGPORE AREA,Malaysia,,,HHI,,,,,,,,,,ABS,322.0,56.0,29.5,18.0,SH,258409.0,1989.0,2013.0,,100.0,17.0,,,,,,1600.0,,80.0,,,,IT,D,
16,TEEKAY,PETROJARL VARG,N,17-Apr,,,Teekay,Teekay,3,,0.0,,,Norway,,,,,,,,,,,,,DNV,214.0,38.0,21.0,16.0,DH,60000.0,1998.0,2008.0,57.0,53.0,66.0,,,,57.0,100.0,470.0,,77.0,,,,IT,P,10.0
1,CNOOC,HAI YANG SHI YOU,N,July-20,18-May,25.4,CNOOC,COOEC,1,,,400.0,,China,,,,,,Oindao Behai,,,,,,,,,,,,,,2018.0,,,,,,,,,,,,,,,,ET,,
2,BLUEWATER,AOKA MIZU,C,1H-19,Oct-18,,Bluewater,Bluewater Hurricane Energy,3,L,,1300.0,"Lancaster Field, W. of Shetland",UK,,,,,,,Drydocks World,,,,,,DNV,242.0,44.0,,,DH,89184.0,1999.0,2017.0,30.0,,35.0,,,,20.0,55.0,605.0,11.0,84.0,,,TB,DP,D,
3,DIXSTONE,TEMPERA,C,1Q-19,17-Jun,,Dixstone,Dixstone Perenco,3,,,110.0,,Congo,,,,Keppel,,,Keppel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SM,,
4,ENERGEAN,TANIN / KARISH FPSO,N,4Q-20,18-Mar,,Energean Oil & Gas,Energean Oil & Gas,1,,,1700.0,Karish,Israel,531.0,,,Technip/FMC,,Sembcorp Marine,,,,,,,,227.0,50.0,,,,,,,,800.0,,,,,,,800.0,,,,,,ET,,
5,EQUINOR,JOHAN CASTBERG,N,1Q-20,17-Dec,,EQUINOR,EQUINOR,1,,,370.0,Johan Castberg,Norway,,,,,,Sembcorp Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,,
6,,CARIOCA MV 30,C,July-21,17-Oct,32.4,Modec,Modec Petrobras,3,L,,2200.0,Sepia,Brazil,,,,,,,Cosco Dalian,,,,,,,,,,,,,,2018.0,,,,,,,,,,,,,,,SM,,
7,MODEC,GUANABARA MV 31,C,July-21,17-Nov,31.4,Modec,Modec Petrobras,3,L,,2100.0,,Brazil,,,,,,,DSIC,,,,,,,,,,,,,,2018.0,,,,,,,,,,,,,,,SM,,
8,,P-70,N,1Q-19,10-Jun,,Petrobras,Petrobras,1,,,1500.0,Atapu,Brazil,,,,,,Cosco Zhoushan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SM,,
9,,P-75,C,1Q-19,12-May,,Petrobras,Petrobras,1,,,2190.0,Buzios,Brazil,,,,Enseada,,,Cosco Dalian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SM,,
10,PETROBRAS,P-77,C,1Q-19,12-May,,Petrobras,Petrobras,1,,,2190.0,Buzios,Brazil,,,,Enseada,,,Cosco Dalian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SM,,
11,,SURURU,N,2021,17-Dec,,Petrobras,Petrobras,1,,,1500.0,Sururu,Brazil,,,,CIMC Raffles,,CIMC Raffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SM,,
12,,LIZA 1,C,2019,17-Jun,,SBM,SBM ExxonMobil,3,L,,1525.0,Liza 1,Guyana,,,,,,,Keppel,,,,,,,,,,,,,,2017.0,,,,,,,,,,,,,,,SM,,
13,SBM,LIZA 2 (FAST4WARD),N,1Q-19,17-Jun,,SBM,SBM Exxon Mobil,3,L,,1525.0,Liza 2,Guyana,,,,SBM,,,,,,,,,,,,,,,,2018.0,,,,,,,,,,,,,,,,SM,,
14,SHELL,PENGUINS,N,2021,18-Jan,,Shell,Shell,1,,,160.0,Penguins,UK,,,,Fluor,,COOEC/CIMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SM,,
15,,CA RANG DO,C,2019,17-Apr,,Yinson,Yinson Repsol,3,L,10.0,320.0,Ca Rang Do Block 07/03,Vietnam,,,,,,,Keppel,,,,,,,,,,,,,,2017.0,,,,,,,,,,,,,,,STP,,
16,YINSON,FPSO HELANG (FOUR RAINBOW),C,1Q-19,18-Apr,,Yinson,Yinson JX Nippon,3,L,,90.0,Layang Block SK10,Malaysia,,,,,,,Keppel,,,,,,,,,,,,,,2018.0,40.0,10.0,,,,,,,600.0,,,,,,IT,,
