NAME,ATWOOD HUNTER,ATWOOD EAGLE,ATWOOD  FALCON,ATWOOD OSPREY,OCEAN AMERICA,OCEAN BARONESS,OCEAN QUEST,OCEAN WINNER,OCEAN WORKER,OCEAN VALIANT,OCEAN VICTORY,OCEAN ENDEAVOR,OCEAN MONARCH,OCEAN ROVER,OCEAN STAR,BLACKFORD DOLPHIN,ENSCO 5006,ENSCO 5001,NOBLE AMOS RUNNER,NOBLE PAUL ROMANO,NOBLE JIM THOMPSON,NOBLE MAX SMITH,NOBLE HOMER FERRINGTON,NOBLE CLYDE BOUDREAUX,NOBLE LORRIS BOUZIGARD,NOBLE THERALD MARTIN,NOBLE DRILLER,DEEPWATER NAUTILUS,TRANSOCEAN MARIANAS,GSF CELTIC SEA,JACK BATES,"M.G. HULME, JR",TRANSOCEAN RICHARDSON,HENRY GOODRICH,JIM CUNNINGHAM,TRANSOCEAN LEADER,TRANSOCEAN RATHER,SOVEREIGN EXPLORER,ABAN ABRAHAM,HYSY 981,OCEAN CLIPPER,OCEAN CONFIDENCE,OCEAN ALLIANCE,OCEAN COURAGE,OCEAN VALOR,BELFORD DOLPHIN,ENSCO 7500,ENSCO 8500,ENSCO 8501,ENSCO 8502,ENSCO 8503,ENSCO 8504,ENSCO 8505,ENSCO DS-1,ENSCO DS-2,ENSCO 6001,ENSCO 6002,ENSCO 6004,ENSCO 6003,ENSCO DS-3,ENSCO DS-4,ENSCO DS-5,ENSCO DS-6,LA MURALLA IV,JASPER EXPLORER,MÆRSK DEVELOPER,MAERSK DISCOVERER,MÆRSK DELIVERER,NOBLE PAUL WOLFF,NOBLE ROGER EASON,NOBLE LEO SEGERIUS,NOBEL MURAVLENKO,NOBLE DAVE BEARD,NOBLE DANNY ADKINS,NOBLE JIM DAY,NOBLE PHOENIX,NOBLE GLOBETROTTER I,NOBLE BULLY I,ERIK RAUDE,LEIV EIRIKSSON,OCEAN RIG CORCOVADO,OCEAN RIG OLYMPIA,OCEAN RIG POSEIDEN,OCEAN RIG MYKONOS,DEEPSEA METRO I,DEEPSEA METRO II,DEEPSEA STAVANGER,DEEPSEA  ATLANTIC,Pacific Bora,Pacific Scirocco,Pacific Mistral,Pacific Santa Ana,Louisiana,SSV Victoria,GOLD STAR,ALPHA STAR,LONE STAR,SAIPEM 10000,SAIPEM 12000,SCARABEO 5,SCARABEO 8,SCARABEO 9,SC LANCER,WEST NAVIGATOR,WEST PHOENIX,WEST EMINENCE,WEST SIRIUS,WEST TAURUS,WEST HERCULES,WEST AQUARIUS,WEST POLARIS,WEST CAPELLA,WEST ORION,WEST CAPRICORN,WEST PEGASUS,WEST LEO,WEST GEMINI,Sevan Driller,SONGA ECLIPSE,STENA DRILLMAX,STENA CARRON,STENA FORTH,STENA ICEMAX,DEEPWATER ASGARD,DEEPWATER INVICTUS,DEEPWATER CHAMPION,TRANSOCEAN BARENTS,TRANSOCEAN SPITSBERGEN,DISCOVERER INDIA,DISCOVERER CLEAR LEADER,DISCOVERER AMERICAS,DISCOVERER INSPIRATION,PETROBRAS 10000,DHIRUBHAI DEEPWATER KG1,DHIRUBHAI DEEPWATER KG2,DISCOVERER LUANDA,DEVELOPMENT DRILLER III,DEEPWATER DISCOVERY,DEEPWATER EXPEDITION,DEEPWATER FRONTIER,DEEPWATER MILLENNIUM,DEEPWATER PATHFINDER,DISCOVERER DEEP SEAS,DISCOVERER ENTERPRISE,DISCOVERER SPIRIT,GSF C.R. LUIGS,GSF JACK RYAN,GSF EXPLORER,GSF DEVELOPMENT DRILLER I,GSF DEVELOPMENT DRILLER II,DEEPWATER NAVIGATOR,SEDCO ENERGY,SEDCO EXPRESS,CAJUN EXPRESS,DISCOVERER 534,SEDCO 707,DISCOVERER SEVEN SEAS,SEDCO 702,SEDCO 706,SEDCO 709,SEDCO 710,PLATINUM EXPLORER,TITANIUM EXPLORER
rotary table size (In.),49.5 in.,49.5 in.,60.5 in.,60.5 in.,49.5 in.,60.5 in.,49.5 in.,49.5 in.,49.5 in.,49.5 in.,49.5 in.,60.5 in.,60.5 in.,60.5 in.,49.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in./49.5 in. (2),49.5 in.,49.5 in.,49.5 in.,60.5 in.,49.5 in.,49.5 in.,49.5 in.,49.5 in.,49.5 in.,49.5 in.,49.5 in.,49.5 in.,49.5 in.,49.5 in.,49.5 in.,,60.5 in.,60.5 in.,49.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,49.5 in.,49.5 in.,49.5 in.,49.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,,,60.5 in./60.5 in.,60.5 in./60.5 in.,60.5 in./60.5 in.,60.5 in.,49.5 in.,49.5 in.,49.5 in.,60.5 in.,60.5 in.,60.5 in.,49.5 in.,60.5 in./60.5 in.,60.5 in.,Hydralift,Hydralift,,,,,,,60.5 in./49.5 in.,60.5 in./49.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,,,,60.5 in.,60.5 in.,60.5 in.,75.5 in.,49.5 in.,60.5 in.,60.5 in.,49.5 in.,60.5 in. (2),60.5 in./49.5 in.,60.5 in./49.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,,60.5,60.5 in./49.5 in.,60.5 in./49.5 in.,60.5 in./49.5 in.,60.5 in./49.5 in.,75.5 in./60.5 in.,75.5 in./60.5 in.,75.5 in./60.7 in.,60.5 in. (2),60.5 in. (2),75.5 in./60.5 in.,75.5 in./60.6 in.,75.5 in./60.7 in.,75.5 in./60.8 in.,60.5 in. (2),60.5 in. (2),60.5 in. (2),75.5 in./60.5 in.,60.5 in./49.5 in.,60.5 in.,49.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in. (2),60.5 in. (2),60.5 in. (2),49.5 in.,49.5 in.,49.5 in.,60.5 in./49.5 in.,60.5 in./49.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,49.5 in.,49.5 in.,49.5 in.,49.5 in.,60.5 in.,49.5 in.,49.5 in.,60.5 in.,60.5 in.
IRON ROUGHNECK Model,NOV ST80,Varco,NOV,NOV ST-120,Varco AR3200,Hydralift,Varco AR3200,Varco AR3200,Varco AR3200,Varco AR3200,Varco AR3200,Hydralift,Hydralift,Hydralift,Varco AR3200,Hydratong National,Varco AR-3200,M-H,Varco AR3200C,Varco AR3200C,Varco AR3200,Varco AR3200,Varco AR3200,AR5000,Varco AR3200C,Varco AR3200C,MH,Varco AR3200,Varco AR3200,Varco AR3200,Varco AR3000,Varco AR3200,M-H,M-H,Varco IR2000,M-H,Varco,M-H,Rogers ROT 8.5,,Varco AR3200,Varco AR3200,Varco AR3000,BC26-MH-1899,BC26-MH-1899,M-H,Varco AR4000,AR4500 & ST-120,AR4500 & ST-120,AR4500 & ST-120,AR4500 & ST-120,AR4500 & ST-120,AR4500 & ST-120,M-H,M-H,M-H,M-H,M-H,M-H,NOV,NOV,NOV,NOV,,NOV/Aker Kvaerner,NOV,NOV,NOV,Varco AR3200C,Varco AR3200,Varco AR3200,M-H,Varco AR5000,2x Varco AR5000,2x Varco AR5000,M-H,2x NOV AR5000,2x Aker Torq Master,Hydralift,Hydralift,,,,,NOV TDS-1000;TDS-85A,NOV TDS-1000;TDS-85A,Hydratong MPT,Hydratong MPT,2x Hydratong MPT,2x Hydratong MPT,2x Hydratong MPT,2x Hydratong MPT,,,,,,Hydralift,NOV,Varco AR3000,UNITONG,Aker Solutions,,Y (2),Y (2),Y (2),Y (2),Y (2),Y (2),Y (2),Y (2),Y (2),Y (2),Y (2),Y (2),Y (2),Y (2),,MH-BC25,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,Aker MH BC 561,Aker MH BC 561,Aker MH BC 561,Aker Hyd Roughneck,Aker Hyd Roughneck,AR-5000,AR-5000,AR-5000,AR-5000,dual Hydro racker,dual Hydro racker,dual Hydro racker,AR-5000,NOV ARN-200 (2),Varco AR3200C,Varco AR3200C,Varco AR3200,Varco AR3200,Varco AR3200,Varco AR3200,Varco AR3200,Varco AR3200,Varco AR3200,Varco AR3200,Varco AR3200,Hydralift ARN-166 (2),Hydralift ARN-166 (2),Varco AR3200C,MOS,MOS,MOS,,,Varco TDS-4S,NOV ST-80,NOV ST-80,none,MH 1898,1xAKMH 1899 Mark III/1xTorque master,1xAKMH 1899 Mark III/1xTorque master
TOP DRIVE Manufacturer & Model,Varco-TDS-4S,Varco-TDS-4S,Varco-TDS-4H,NOV TDS-1000A,Varco-TDS-4S,National PS-1000,Varco-TDS-4S,Varco-TDS-4S,Varco TDS-4H,Varco-TDS-4S,Varco-TDS-4S,National PS-1000,National PS-1000,National PS-1000,Varco-TDS-4S,EPS 750-E-AC-KT,Varco TDS-4S,Hydralift HPS-650,Varco-TDS-4S,Varco-TDS-4S,Varco-TDS-4S,Varco-TDS-4S,Varco-TDS-4S,Oilwell PS2/Oilwell PS50A,National,National PS2-500/500,MH 650,Varco TDS-8SA,Varco TDS-4S,Varco TDS-4S,Varco TDS-4S,Varco TDS-4S,Varco TDS-4,Varco TDS-4S,Varco TDS-4S,Varco TDS-4,Varco TDS-4S,Varco TDS-4,Can Rig 750 T A/C Drive,,Varco-TDS-4S,Varco-TDS-6S,Varco-TDS-4S,AKMH-DDM-AC-2M,AKMH-DDM-AC-2M,M-H DDM 750,Varco-TDS-8,NOV-TDS-1000,NOV-TDS-1000,NOV-TDS-1000,NOV-TDS-1000,NOV-TDS-1000,NOV-TDS-1000,Canrig AC-1275-681,Canrig AC-1275-681,M-H DDM-650,M-H DDM-650,M-H DDM-650,M-H DDM-650,HydraTong NOV-HPS-1000,HydraTong NOV-HPS-1000,HydraTong NOV-HPS-1000,HydraTong NOV-HPS-1000,,NOV TDS-4,NOV HPS-03,NOV HPS-03,NOV HPS-03,Varco-TDS-4S,Varco-TDS-4S,Varco-TDS-4S,M-H DDM 650,NOV PS-2-1000,Varco TDX-1250,Varco TDX-1250,MH 750,NOV-TDS-1000,Aker DDM 1000AC,HPS 1000 AC,HPS 1000 AC,,,,,,,NOV HPS-1000,NOV HPS-1000,NOV Top Drive HPS-03 1000 AC,2x NOV Top Drive HPS-03 1000 AC,1x NOV TDX 1250/1x NOV HPS-03 1000 AC,NOV Top Drive HPS-03 1000 AC,,,,NOV TDS 1000A,NOV TDS 1000A,Hydralift 750ZE,NOV HPS03 1000,Varco-TDS-4S,NOV HPS03 1000,"MH DDM 1000 HY RR 1,000 st each",,MH 1x650 + 1x750,Main 908Mt/Aux 454Mt,Main 908Mt/Aux 454Mt,NOV 1250,908Mt,908Mt,908Mt,NOV-Hydralift HPS10002E-AC-KT,NOV-Hydralift HPS10002E-AC-KT,908Mt,908Mt,NOV HPS 1000,NOV HPS 1000,NOV-Hydralift HPS10002E-AC-KT,,MH DDM-1000-AC-2M,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,M-H MDDM 1250-AC (2),M-H MDDM 1250-AC (2),NOV TDS-1000 AC / NOV TDS-8S AC,"M-H MDDM 1,000-AC / 500-AC","M-H MDDM 1,000-AC / 500-AC",M-H MDDM 1250-AC (2),M-H MDDM 1250-AC (2),M-H MDDM 1250-AC (2),M-H MDDM 1250-AC (2),Hydralift HPS-1000 2E AC,Hydralift HPS-1000 2E AC,Hydralift HPS-1000 2E AC,M-H MDDM 1250-AC (2),NOV HPS-1000 & NOV HPS-500,Varco TDS-4S,Varco TDS-4S,Varco TDS-8S,Varco TDS-8S,Varco TDS-8S,Varco TDS-8SS (2),Varco TDS-8SS (2),Varco TDS-8SS (2),Varco TDS-1000 AC,Varco TDS-1000 AC,Varco TDS-1000 AC,Hydralift HPS-1000 2E AC/HPS-500 E AC,Hydralift HPS-1000 2E AC/HPS-500 E AC,Varco TDS-4S,CanRig,CanRig,CanRig,Varco TDS-4S,Varco TDS-3,HSMC,Varco TDS-4S,Varco TDS-4S,Varco TDS-4S,Varco TDS-3H,AKMH Model,AKMH Model
HEAVE COMPENSATOR Manufacturer,W.G.,W.G.,W.G.,NOV AHD,Shaffer,Hydralift,Shaffer,Shaffer,NOV,Shaffer,Shaffer,Hydralift,Hydralift,Hydralift,Westech Gear,National CMC-1500,NOV-CMC,NOV-CMC,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,RuckerShaffer,RuckerShaffer,Hitec,Hitec AHD,M-H,Shaffer,Western Gear,Vetco,M-H,M-H,Vetco,M-H,M-H,Shaffer,Shaffer,,Shaffer,Shaffer,Shaffer,AKMH,AKMH,N-O Hitec,M-H,NOV,NOV,NOV,NOV,NOV,NOV,MH-CMC active,MH-CMC active,MH-CMC,MH-CMC,MH-CMC,MH-CMC,NOV-CMC-active,NOV-CMC-active,NOV-CMC-active,NOV-CMC-active,,Aker Kvaerner,NOV HPS-04,NOV HPS-04,NOV HPS-04,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Sense,Huisman,Huisman,Hydralift,Hydralift,,,,,,,,,NOV CMC + AHC,NOV CMC + AHC,NOV CMC + AHC,NOV CMC + AHC,,,,NOV,NOV,Hydralift,NOV,M-H,NOV,Aker Ram Rig,,MH,MH,MH,MH,MH,MH,MH,NOV-Hydralift,NOV-Hydralift,MH,MH,NOV,NOV,NOV-Hydralift,,,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,Aker MH CMC,Aker MH CMC,NOV (AHD),AKMH RamRig,AKMH RamRig,NOV (AHD),NOV (AHD),NOV (AHD),NOV (AHD),NOV-CMC-1000-25,NOV-CMC-1000-25,NOV-CMC-1000-25,NOV (AHD),NOV (AHD),Shaffer,Shaffer,Hitec,Hitec,Hitec,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,National,National,Shaffer,,,,DSI,Shaffer,,Rucker,Shaffer,Shaffer,Vetco,DDM-1000-AC-2M AKMH,DDM-1250-AC-2M AKMH
HEAVE COMPENSATION CAPACITY (Kips),650,650,650,,600,1000,400,500,600,600,500,1000,1000,1000,600,800,600,600,800,800,800,800,800,"1,000/650",400,600,650,,600,600,600,400,600,600,400,600,600,600,600,,600,1000,600,1500,1500,2000,"1,000/1,500","1,000/2,000","1,000/2,000","1,000/2,000","1,000/2,000","1,000/2,000","1,000/2,000",1000,1000,600,600,600,600,1000,1000,1000,1000,,1300,"1,000/750","1,000/750","1,000/750",800,600,600,600,1000,"1,000/2,000","1,000/2,000",1500,2000,2000,"2,000/1,000","2,000/1,000",,,,,,,,,1000,1000,1000,1000,,,,,,1000,1000,600,1000,2000,,"2x1,300","1,500/750","1,500/750",1000,1000,1000,1000,1000,1000,1000,1000,,,1000,,,840/661,840/661,840/661,840/661,"1,500/1,000","1,500/1,000","2,260/1,700","2,000/1,000","2,000/1,000","2x2,000","2x2,000","2x2,000","2x2,000","2x1,000","2x1,000","2x1,000","2x2,000","2,000/1,000",2000,800,Active,Active,Active,"2x1,000","2x1,000","2x1,000",1000,1000,1000,"2,000/1,000","2,000/1,000",800,1500,1500,1500,480,600,600,600,600,500,650,2000,2800
COMPENSATION TYPE (ACTIVE/PASSIVE),P,P,P,A,P,P,P,P,P,P,P,P,P,P,p,A,P,P,P,P,P,P,P,P/P,P,P,P,A,P,P,P,P,P,P,P,A,P,P,P,,P,P,P,A,A,AD,P,P,P,P,P,P,P,A/P,A/P,P,P,P,P,A/P,A/P,A/P,A/P,,,A,A,A,P,P,P,P,P,P,P,A,A/P,A/P,A/P,A/P,,,,,,,,,A+P,A+P,A+P,A+P,,,,,,A/P,A/P,A/P,A/P,A/P,,A/P,A/P,A/P,A/P,A/P,A/P,A/P,A/P,A/P,A/P,A/P,A/P,A/P,A/P,,,A/P,A/P,A/P,A/P,A,A,A,A,A,A,A,A,A,P,P,P,A,A,A/P,P,A,A,A,A,A,A,A/P,A/P,A/P,A,A,P,A,A,A,,P,P,P,P,P,P,A,A
PIPE RACKING SYSTEM Model,none,none,none,NOV HydraRacker,BJarm,Hydraracker,,,,BJarm,,Bridgeracker,Bridgeracker,Bridgeracker,,HydraRacker,M-H Column,BJ-2 arm,Varco-PRS-4i,Varco-PRS-4i,Varco-PRS-4i,Varco-PRS-4i,Varco-PRS-4i,Varco-PRS-4i(2),,,MH,Varco-PRS-4i (2),M-H,,M-H,,M-H,,,M-H,M-H,M-H,"VARCO BJ, Type V",,Patriot,Varco-PRS-4i,M-H,Bridge Crane,Bridge Crane,"Hitec,Dreco",Varco-PRS-3i,NOV-BR-15,NOV-BR-15,NOV-BR-15,NOV-BR-15,NOV-BR-15,NOV-BR-15,M-H,M-H,M-H,M-H,M-H,M-H,NOV Dual HydraRacker,NOV Dual HydraRacker,NOV Dual HydraRacker,NOV Dual HydraRacker,,Patriot,NOV (DUAL),NOV (DUAL),NOV (DUAL),Varco-PRS-4i,Western Gear,Aker,BJ,Varco-PRS-4i,Varco-PRS-6i,Varco-PRS-6i,MH,Huisman,Huis-Drill,Hydraracker,Hydraracker,,,,,NOV PRS-5,NOV PRS-5,Hydraracker HR-IV,Hydraracker HR-IV,2xNOV,2xNOV,2xNOV,2xNOV,,,,,,Hydralift,NOV,BJ Mark II,NOV,RamRig,,MH,MH,MH,MH,MH,MH,MH,NOV,NOV,MH,MH,NOV,,NOV,,MH,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,Aker MH Racking,Aker MH Racking,NOV PRS-5 (2),Aker MH Racking,Aker MH Racking,NOV PRS-5 (2),NOV PRS-5 (2),NOV PRS-5 (2),NOV PRS-5 (2),Hydraracker HR-IV,Hydraracker HR-IV,Hydraracker HR-IV,NOV PRS-5 (2),Hydralift Br. Crane,Varco-PRS-6i,Varco-PRS-4i,Varco-PHM3i,Varco-PHM3i,Varco-PHM3i,Varco-PRS-5 (2),Varco-PRS-5 (2),Varco-PRS-5 (2),Varco-PRS-4i,Varco-PRS-4i,Varco-PRS-4i,Hydralift Br.,Hydralift Br.,W.G.,Varco-PRS-5R (2),Varco-PRS-5R (2),Varco-PRS-5R (2),BJ,,BJ,,,,,AKMH/ BC501,AKMH/ BC501
DRILLING INSTRUMENTATION Manufacturer,Petron,Petron,Petron,NOV,Petron,Hitec,Totco,MD Totco,MD Totco,Petron,MDT,Hitec,Hitec,Hitec,MD Totco,NOV Cyberbase,Hitec,Hitec,Totco,Totco,Totco,Totco,Totco,Cyberbase,NOV,MDTotco,Electro Flo,Hitec,Hitec,Hitec,Y,M-D,M-D,M-D,M-D,Totco,M-D,M-D,HMI,,MDT,VICIS,Various,AKMH Drillview,AKMH Drillview,"Hitec, ASA",MDT,MDT,MDT,MDT,MDT,MDT,MDT,Hitec,Hitec,Hitec,Hitec,Hitec,Hitec,Cyberbase,Cyberbase,Cyberbase,Cyberbase,,,NOV,NOV,NOV,TOTCO,Bohr,NOV,Electro-flow,Cyberbase,Cyberbase,Cyberbase,Sense,Huisman,"10,000 Huisman",,,,,,,,,,,Hydraracker Cyberbase,Hydraracker Cyberbase,Hydraracker Cyberbase,Hydraracker Cyberbase,,,,,,Hitec,NOV,Sensetec,NOV,DrillView,,,,,,,,,,,,,,,,,,"Hitec, MDT","Hitec, MDT","Hitec, MDT","Hitec, MDT",,,NOV,,,NOV,NOV,NOV,NOV,NOV,NOV,NOV,NOV,NOV,Hitec,MDT,Hitec,Hitec,Hitec,MDT,MDT,MDT,Varco,Varco,Hitec,Crane Hydralift,Crane Hydralift,Hitec,MDT,MDT,MDT,,"Hitec, SDI",Oilfield Instr.,,,Auto/Eurotech,Martin Decker,AKMH / Wirth,AKMH / Wirth
MUD SYSTEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUD PUMPS No.,3,3,3,4,3,4,3,3,3,3,3,4,4,4,3,3,3,4,3,4,3,3,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,,3,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,6,,,,4,4,4,4,3,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,3,4,4
MUD PUMPS Manufacturer & Model,N-O A1700PT,N-O A1700PT,N-O A1700PT,Lewco,Continental Emsco FB1600,"N-O FC2200(3), A1700PT(1)",N-O 12P-160,N-O 12P-160,National 12-P-160,Continental Emsco FB1600,Continental Emsco FB1600,"N-O FC2200(3), A1700PT(1)",N-O 14P-220 (4),"N-O FC2200(3), A1700PT(1)",National Oilwell  12P-160,National Oilwell 14P-220,NOV 14-P-220,2xC-E FA-1600/1xFC-1600/1xNOV 12-P-60,2 CE-2200/NOA1700PT,3,N-O A1700PT,CE FB1600/1 Lewco Riser boost,N-O 12P-160,N-O FC 2200,12P-160,Continental Emsco FB1600,National 12-P-160,NOV 14-P-220,CE FB2200(3)/CE FB1600(1),National Oilwell 12P-160,National Oilwell A1700,National Oilwell 12P-160,Continental Emsco FB1600,Continental Emsco FB1600,National Oilwell 12P-160,Continental Emsco FB1600,Continental Emsco FB1600,National Oilwell 12P-160,National 12P-160,,National Oilwell 12P-160,Continental Emsco FC-2200,National Oilwell 12P-160,Wirth TPK 7-1/2 x 14 / 2200,Wirth TPK 7-1/2 x 14 / 2200,National Oilwell 14P-220,NO14P-220/LewcoW446RB,Lewco W2215,Lewco W2215,Lewco W2215,Lewco W2215,Lewco W2215,Lewco W2215,National Oilwell 12P-160,National Oilwell 14P-220,C-E FC-1600,C-E FC-1600,C-E FC-1600,C-E FC-1600,NOV 14-P-2200,NOV 14-P-2200,NOV 14-P-2200,NOV 14-P-2200,,National 12P-160,Wirth 2200HP-7500psi,Wirth 2200HP-7500psi,Wirth 2200HP-7500psi,NOV 12P 160,Continental Emsco FB-1600,National Oilwell 12P-160,OilwellA1700PT/1ea.G-D,National 240 Hex; 2540 hp,National 240 Hex; 2400 hp,National 240 Hex; 2400 hp,Wirth TPK 7500,NOV 14-P-220,Wirth TPK 7500,Emsco FC-2200,Emsco FC-2200,,,,,NOV 14P220,NOV 14P220,NOV 14P220,NOV 14P220,NOV 14P220,NOV 14P220,NOV 14P220,NOV 14P220,,,,NOV 14P220 triplex,NOV 14P220 triplex,Wirth TPK 2200,NOV 14-P-220,Continental Emsco FB1600,NOV 14-P-220,AS/Bomco 7500 pai 2200 HP,Gardner Denver,National Oilwell 14P220,Wirth TPK - 2200HP,Wirth TPK - 2200HP,Wirth - 2200HP,Wirth - 2200HP,Wirth TPK - 2200HP,Wirth TPK - 2200HP,National Oilwell 14P220,National Oilwell 14P220,Wirth - 2200HP,Wirth - 2200HP,National Oilwell 14P220,National Oilwell 14P220,National Oilwell 14P220,,"Wirth 2,200 HP, 7,500 psi",NOV FC2200,NOV FC2200,NOV FC2200,NOV FC2200,Aker MH Wirth TPK-7.1/2,Aker MH Wirth TPK-7.1/2,National Oilwell 14P-220,Aker MH Wirth TPK-7.1/2,Aker MH Wirth TPK-7.1/2,NOV 14-P-220,NOV 14-P-220,NOV HEX-240,NOV HEX-240,NOV 14-P-220,NOV 14-P-220,NOV 14-P-220,NOV 14-P-220,NOV 14-P-220,Continental Emsco FC2200,Continental Emsco FC2200,National Oilwell 14P-220,National Oilwell 14P-220,National Oilwell 14P-220,National Oilwell 14P-220,National Oilwell 14P-220,National Oilwell 14P-220,National Oilwell 14P-220,National Oilwell 14P-220,NO 14P-220(3)/12P-160(1),National Oilwell 14P-220,National Oilwell 14P-220,Continental Emsco FB1600,National Oilwell 14P-220,National Oilwell 14P-220,National Oilwell 14P-220,National Oilwell 12P160,National Oilwell A1700,Gardner-Denver PZ-11,National Oilwell A1700,National Oilwell A1700,National Oilwell A1700 622,Continental Emsco FB1600,Wirth TPK 7-1/2 X 14 /2200CL,Wirth TPK 7-1/2 X 14 /2200CL
MUD PIT ACTIVE VOLUME (bbls.),3247,3624,5346,15950,2820,2943,1778,1944,972,2820,3200,2943,3250,2943,1584,2360,5100,5308,1500,N-O A1700PT/1 Lewco Riser boost 1500,2000,2360,2500,3000,2600,2484,1710,4000,2935,2470,4000,751,1700,1700,1825,2226,1700,915,1050,,1189,4889,2980,7246,7246,5000,3675,4500,4500,4500,4500,4500,4500,3614,3685,1550,1550,1550,1550,6000,6000,6000,6000,,,9755,9755,9755,2900,1250,1200,1764,3000,3700,3700,1826,6230,6231,,,,,,,,,,,6698,6698,6698,6698,,,,,,1000,5500,500,5600,8643,,6600,6300,6300,6800,6800,5600,5600,6040,6040,6800,6800,6300,6300,6040,,,5346,5346,5346,5346,8000,8000,10956,5025,5025,7890,7890,7890,7890,5500,5500,5500,7890,19500,6000,1934,1660,1660,1660,6000,6000,6000,3000,3000,1429,6850,6850,1857,4522,5660,4500,1800,2029,2180,2293,2400,2340,743,11607,11607
MUD PIT RESERVE VOLUME (bbls.),incl.,1282,incl.,incl.,5220,4000,1200,1500,1575,incl.,incl.,13000,6400,4000,1350,2640,4800,––,13000,13000,13000,13000,4000,7085,,,117,5712,1800,5802,1650,2259,3631,1800,2000,13730,2300,2227,3700,,3652,4800,900 ft.,12178,12178,17000,8550,11700,11700,11700,11700,11700,11700,-,-,2800,2800,2800,2800,6000,6000,6000,6000,,,10355,10355,10355,6300,2250,2000,750,7085,9100,9100,2750,8770,7491,,,,,,,,,,,9290,9290,9290,9290,,,,,,5000,12500,2500,5300,12167,,5700,6900,6900,11900,11900,11500,11500,8460,8460,11900,11900,6300,6300,8460,,,6289,15096,15096,15096,12000,12000,8.975,5675,5675,11568,11568,11568,12000,6000,6500,6500,11568,10000,9000,2154,3400,3400,3400,9000,9000,9000,8000,8000,4800,12200,12200,3350,6037,6038,7000,2400,2000,2400,2500,3300,2200,3553,18752,18752
DEDICATED COMPLETION FLUID VOLUME (bbls.),1000,2614,3460,28000,1800,incl.,incl.,Incl.,incl.,incl.,incl.,incl.,3200,incl.,incl.,2735,24324,6489,2155,2155,2155,2155,2324,––,,,,3019,3296,1418,6050,3588,1000,4060,7617,3207,4000,3300,700,,incl.,incl.,incl.,incl.,incl.,3150,incl.,incl.,incl.,incl.,incl.,incl.,incl.,10094,8522,,,,,3000,3000,3000,3000,,,4860,4860,4860,2525,,,,10150,7100,7100,3065,10000,6496,,,,,,,,,,,6290,6290,6290,6290,,,,,,,,,,,,,3100,3100,4800,4800,3200,3200,3100,3100,4800,4800,3500,3500,3100,,,3145,3145,3145,3145,5031,5031,8440,8805,8805,11095,11095,11095,11095,6276,5031,5031,11095,4717,8805,1643,6600,6600,6600,9026,9026,9026,9594,9594,5382,4868,4868,1780,,,3846,,2400,,5800,5000,22000,3158,,
